event_time;acf_decay_norm;acf_first_zero_norm;crest_factor;dominant_freq_norm;duration_ratio_20pct;duration_ratio_50pct;energy_concentration;energy_decay_ratio;energy_ratio_0_2Hz;energy_ratio_12_16Hz;energy_ratio_16_20Hz;energy_ratio_2_5Hz;energy_ratio_5_8Hz;energy_ratio_8_12Hz;envelope_kurtosis;envelope_peak_count_norm;envelope_skewness;envelope_smoothness;form_factor;freq_drift;freq_track_cv;freq_track_range_norm;hf_content_ratio;hjorth_mobility;impulse_factor;kurtosis;low_high_ratio;mean_recurrence_dist_norm;mid_total_ratio;onset_peak_ratio_1000ms;onset_peak_ratio_500ms;onset_sharpness;peak_position_norm;peak_prominence;rise_decay_asymmetry;signal_complexity;signal_entropy_norm;skewness;spectral_bandwidth_norm;spectral_centroid_norm;spectral_flatness;spectral_rolloff_50_norm;spectral_rolloff_85_norm;tf_concentration;wavelet_peak_scale;wavelet_scale_ratio;wavelet_time_concentration;zero_crossing_rate;class_name
2024-03-19T14:26:36.600000Z;0.0055;0.0065;2.281675766;0.89151808;0.999500083;0.994167639;0.284631632;1.167488565;1.20E-05;0.005012452;0.948930834;0.001575661;0.002560803;0.001023366;0.296614635;2.2;-0.1307309;0.708805478;1.131364645;-0.026546683;0.057946826;0.20361991;0.99515097;0.113501789;2.581407293;-1.280668675;0.002130182;1.344056308;0.003052623;0.808245607;0.758379128;0.08246467;0.647058824;1.209055788;1.833333333;1.256833057;0.094407646;-0.08479624;0.008331945;1.002314947;0.000125036;0.89151808;0.899850025;0.010471887;0.8;0.002835874;0.985623621;35.82736211;helicopter
2024-03-19T14:26:39.200000Z;0.0055;0.0065;2.388172062;0.899850025;0.999833361;0.987668722;0.293156469;1.043775344;2.60E-05;0.002756621;0.963397705;0.002136942;0.00226542;0.00222111;0.011322754;2;0.409931889;0.699134991;1.138142642;0.01814067;0.069849582;0.205479452;0.994835541;0.11412655;2.718080459;-1.195309961;0.002491617;1.365068881;0.004174459;0.775984271;0.775984271;0.077713368;0.213964339;1.353204986;0.272206911;1.261431002;0.094238551;-0.086291466;0;0.976274075;0.000126126;0.899850025;0.899850025;0.011164991;0.8;0.002947142;0.988779012;35.994001;helicopter
2024-03-19T14:26:41.400000Z;0.0055;0.0065;2.40480107;0.899850025;0.999833361;0.999666722;0.310556552;0.792055265;1.28E-05;0.001285023;0.956445245;0.002426159;0.001560185;0.000890202;0.191000365;2;0.389643132;0.851574725;1.142417181;0.010479875;0.064282435;0.204545455;0.995552225;0.114793574;2.747286059;-1.162512852;0.00268782;1.165205293;0.002214634;0.761688528;0.761688528;0.07690608;0.739043493;1.759722479;2.832056194;1.266861501;0.092224018;-0.094046163;0.008331945;1.015731384;0.00014732;0.899850025;0.90818197;0.012338739;0.8;0.003043283;0.991847142;35.994001;helicopter
2024-03-19T14:26:46.800000Z;0.0055;0.0065;2.377289652;0.90818197;0.999833361;0.999333444;0.355918988;0.780450687;9.28E-06;0.002331969;0.969308555;0.00197277;0.001140439;0.001398795;0.032737578;1.9;0.581842162;0.961894445;1.140466039;-0.012259868;0;0;0.996124725;0.115683104;2.711218114;-1.143466181;0.002309943;1.268195215;0.002221789;0.815042751;0.815042751;0.090878867;0.991501416;1.332104791;116.6666667;1.273682703;0.095404035;-0.099117733;0.008331945;1.00711065;0.000135534;0.90818197;0.916513914;0.013928607;0.8;0.002987862;0.991921299;36.32727879;helicopter
2024-03-19T14:27:06.600000Z;0.007;0.009;9.414964154;0.924845859;0.578570238;0.052324613;0.700633224;5.012742037;0.000305934;0.011048857;0.910510933;0.007781974;0.011188171;0.053025796;23.13784142;0.3;4.242742027;0.517695777;1.477521713;0.199880602;0.121080526;0.416666667;0.955565231;0.095270384;13.91081397;19.77872066;0.013613589;1.53895921;0.059672574;1;1;0.088221179;0.000499917;1.399464003;0.000500167;1.054476789;0.042224679;-2.154910345;0.008331945;0.83018475;7.98E-05;0.924845859;0.933177804;0.037955846;0.8;0.062302602;0.433012089;35.16080653;helicopter
2024-03-19T14:27:18.800000Z;0.005;0.006;2.459184044;0.983169472;0.997167139;0.941009832;0.309495514;0.692441108;2.00E-05;0.007467448;0.900388318;0.002834755;0.041178719;0.020388832;1.508170593;2.1;-0.539951578;0.873077942;1.140694199;-0.028305591;0;0;0.937489151;0.124373287;2.805176972;-1.158499136;0.004719681;1.096348616;0.060006713;0.579693344;0.548335403;0.059991184;0.844192635;1.089229634;5.418181818;1.332142294;0.129454733;-0.166618059;0.008331945;0.99438138;0.000115044;0.983169472;0.991501416;0.015960781;0.8;0.010296296;0.935103713;39.16013998;helicopter
2024-03-19T14:27:59.600000Z;0.005;0.006;2.351351624;1.024829195;0.999833361;0.842526246;0.339974166;0.712558794;2.91E-06;0.000492283;0.040524916;0.000330076;0.000260399;0.000414215;-0.887888275;1.4;-0.239701109;0.995492095;1.179831272;0.042764368;0.029350662;0.199115044;0.999214329;0.130667726;2.774198177;-0.919256286;0.000403895;0.813899844;0.000604111;0.551260056;0.551260056;0.088887278;0.648225296;1.11652223;1.842728565;1.395626507;0.056615689;-0.012813613;0.008331945;1.283505579;0.000179483;1.024829195;1.03316114;0.01819239;0.8;0.004622038;0.982758921;40.82652891;helicopter
2024-03-19T14:28:55.600000Z;0.0105;0.014;7.048990023;0.308281953;0.223296117;0.105982336;0.923067401;0.055054889;6.17E-06;0.249859995;0.024325842;0.02692588;0.564423669;0.114339905;7.060852881;0.3;2.602515574;0.982804626;2.190010835;-0.320087658;0.51760886;1.512605042;0.328861837;0.062222076;15.43736453;15.52848065;0.426570054;0.08794339;0.580154184;0.030179345;0.024339563;0.002530568;0.540909848;1.012161598;1.178221416;0.716166022;0.021719311;1.620176015;0.308281953;0.587702523;4.37E-06;0.37493751;0.683219463;0.067513474;0.4;0.487070245;0.550290284;22.82952841;icequake
2024-03-19T14:29:39.400000Z;0.009;0.012;5.654133546;0.449925012;0.949341776;0.078820197;0.578866993;2.267714758;0.00019774;0.315439403;0.074185805;0.042936351;0.133975578;0.387175058;7.238857816;0.9;2.556509163;0.906547067;1.411902678;0.020401401;0.471894801;1.451612903;0.599070293;0.073054396;7.983086293;4.601474614;0.191278129;0.893142675;0.480941925;0.3572565;0.242682621;0.01870125;0.454424263;1.014209837;0.832926084;0.828334996;0.238797479;0.496496235;0.149975004;0.674959724;2.80E-05;0.574904183;0.724879187;0.0363413;0.6;0.407566227;0.397569498;21.82969505;short_signal
2024-03-19T14:30:47.400000Z;0.011;0.0265;4.681529752;0.233294451;0.328445259;0.15664056;0.777560021;4.69764554;0.000186997;0.07231115;0.078030274;0.462545705;0.286671584;0.035117548;3.606565425;0.5;2.060785908;0.970338149;1.567141126;0.109535658;0.549595456;1.569767442;0.241171589;0.064246735;7.336617804;5.251972615;2.877984149;0.594565409;0.164379086;0.221844881;0.194461375;0.010709653;0.421763039;1.051561773;0.729394813;0.721000895;0.151022967;0.084320457;0.51658057;0.592435937;1.30E-05;0.26662223;0.7832028;0.047685793;0.2;2.693729243;0.591007056;18.49691718;icequake
