receiver_sn,record_time,temperature
UP1,2024-03-21T06:38:53,-9.63
UP1,2024-03-21T06:49:02,-9.56
UP1,2024-03-21T06:59:06,-9.44
UP1,2024-03-21T07:09:17,-9.25
UP1,2024-03-21T07:19:26,-9.13
UP1,2024-03-21T07:29:34,-9
UP1,2024-03-21T07:39:45,-8.88
UP1,2024-03-21T07:49:52,-8.69
UP1,2024-03-21T07:59:58,-8.56
UP1,2024-03-21T08:10:07,-8.5
UP1,2024-03-21T08:20:11,-8.44
UP1,2024-03-21T08:30:18,-8.25
UP1,2024-03-21T08:40:28,-8.13
UP1,2024-03-21T08:50:39,-8
UP1,2024-03-21T09:00:40,-7.88
UP1,2024-03-21T09:10:42,-7.81
UP1,2024-03-21T09:20:50,-7.75
UP1,2024-03-21T09:30:57,-7.63
UP1,2024-03-21T09:41:05,-7.44
UP1,2024-03-21T09:51:14,-7.25
UP1,2024-03-21T10:01:19,-7.19
UP1,2024-03-21T10:11:25,-7.06
UP1,2024-03-21T10:21:36,-7
UP1,2024-03-21T10:31:36,-6.88
UP1,2024-03-21T10:41:46,-6.88
UP1,2024-03-21T10:51:57,-6.81
UP1,2024-03-21T11:02:07,-6.81
UP1,2024-03-21T11:12:18,-6.75
UP1,2024-03-21T11:22:18,-6.75
UP1,2024-03-21T11:32:27,-6.75
UP1,2024-03-21T11:42:28,-6.75
UP1,2024-03-21T11:52:39,-6.69
UP1,2024-03-21T12:02:46,-6.69
UP1,2024-03-21T12:12:55,-6.69
UP1,2024-03-21T12:23:04,-6.69
UP1,2024-03-21T12:33:05,-6.63
UP1,2024-03-21T12:43:12,-6.69
UP1,2024-03-21T12:53:20,-6.69
UP1,2024-03-21T13:03:26,-6.69
UP1,2024-03-21T13:13:38,-6.69
UP1,2024-03-21T13:23:45,-6.63
UP1,2024-03-21T13:33:52,-6.63
UP1,2024-03-21T13:43:59,-6.63
UP1,2024-03-21T13:54:10,-6.63
UP1,2024-03-21T14:04:18,-6.63
UP1,2024-03-21T14:14:28,-6.63
UP1,2024-03-21T14:24:37,-6.63
UP1,2024-03-21T14:34:46,-6.69
UP1,2024-03-21T14:44:51,-6.69
UP1,2024-03-21T14:54:53,-6.69
UP1,2024-03-21T15:05:02,-6.69
UP1,2024-03-21T15:15:13,-6.69
UP1,2024-03-21T15:25:24,-6.69
UP1,2024-03-21T15:35:36,-6.69
UP1,2024-03-21T15:45:47,-6.75
UP1,2024-03-21T15:55:54,-6.75
UP1,2024-03-21T16:05:54,-6.75
UP1,2024-03-21T16:16:04,-6.81
UP1,2024-03-21T16:26:12,-6.81
UP1,2024-03-21T16:36:22,-6.81
UP1,2024-03-21T16:46:23,-6.81
UP1,2024-03-21T16:56:26,-6.88
UP1,2024-03-21T17:06:34,-6.88
UP1,2024-03-21T17:16:45,-6.88
UP1,2024-03-21T17:26:57,-6.94
UP1,2024-03-21T17:37:06,-6.94
UP1,2024-03-21T17:47:08,-7
UP1,2024-03-21T17:57:15,-6.94
UP1,2024-03-21T18:07:23,-6.94
UP1,2024-03-21T18:17:31,-7
UP1,2024-03-21T18:27:41,-7
UP1,2024-03-21T18:37:52,-7.06
UP1,2024-03-21T18:47:59,-7.06
UP1,2024-03-21T18:58:11,-7.13
UP1,2024-03-21T19:08:19,-7.13
UP1,2024-03-21T19:18:30,-7.13
UP1,2024-03-21T19:28:32,-7.13
UP1,2024-03-21T19:38:41,-7.19
UP1,2024-03-21T19:48:50,-7.25
UP1,2024-03-21T19:58:57,-7.25
UP1,2024-03-21T20:09:05,-7.25
UP1,2024-03-21T20:19:09,-7.25
UP1,2024-03-21T20:29:10,-7.31
UP1,2024-03-21T20:39:16,-7.31
UP1,2024-03-21T20:49:29,-7.38
UP1,2024-03-21T20:59:37,-7.38
UP1,2024-03-21T21:09:39,-7.44
UP1,2024-03-21T21:19:51,-7.44
UP1,2024-03-21T21:30:01,-7.5
UP1,2024-03-21T21:40:11,-7.5
UP1,2024-03-21T21:50:12,-7.5
UP1,2024-03-21T22:00:19,-7.56
UP1,2024-03-21T22:10:29,-7.56
UP1,2024-03-21T22:20:36,-7.63
UP1,2024-03-21T22:30:39,-7.63
UP1,2024-03-21T22:40:39,-7.69
UP1,2024-03-21T22:50:45,-7.69
UP1,2024-03-21T23:00:54,-7.75
UP1,2024-03-21T23:11:00,-7.75
UP1,2024-03-21T23:21:12,-7.75
UP1,2024-03-21T23:31:24,-7.81
UP1,2024-03-21T23:41:32,-7.81
UP1,2024-03-21T23:51:38,-7.88
UP1,2024-03-22T00:01:40,-7.88
UP1,2024-03-22T00:11:45,-7.94
UP1,2024-03-22T00:21:56,-7.94
UP1,2024-03-22T00:31:56,-8.06
UP1,2024-03-22T00:41:57,-8.13
UP1,2024-03-22T00:52:07,-8.19
UP1,2024-03-22T01:02:12,-8.25
UP1,2024-03-22T01:12:13,-8.31
UP1,2024-03-22T01:22:22,-8.38
UP1,2024-03-22T01:32:29,-8.44
UP1,2024-03-22T01:42:40,-8.44
UP1,2024-03-22T01:52:50,-8.5
UP1,2024-03-22T02:02:58,-8.5
