event_time;waveform_rms;waveform_peak_to_peak;waveform_abs_energy;waveform_max_abs;waveform_mean_abs;waveform_skewness;waveform_kurtosis;waveform_std;zero_crossing_rate;spectral_centroid;dominant_freq;spectral_spread;spectral_rolloff;spectral_flatness;spec_band_1_5_ratio;spec_band_5_10_ratio;spec_band_10_15_ratio;spec_band_15_20_ratio;duration_5_percent;duration_2_percent;envelope_rise_time;peak_position_normalized;envelope_skewness;envelope_kurtosis;slowness_min_during_signal;slowness_mean_during_signal;slowness_std_during_signal;slowness_change_during_signal;back_azimuth_at_min_slowness;incidence_angle_at_min_slowness;class_name
2024-03-19T14:26:46.800000Z;183.2545675;848.4739733;951443.0506;458.8822975;158.5474172;-0.11175523;-1.093740095;183.2545675;36.32727879;20.14543065;18.16363939;11.86970101;21.49641726;8.94E-05;0.001980705;0.00189327;0.002362987;0.969925485;5.91;5.944;0.575;0.790034994;-0.539817494;1.899143608;0.261007663;0.390453713;0.077066572;0.244586048;163.3007558;81.89038554;helicopter
2024-03-19T14:27:06.600000Z;93.53874178;807.8899795;435851.1603;405.0046114;72.62975509;-0.011683118;1.604668048;93.53874178;34.99416764;16.65621804;18.49691718;10.16077715;19.16347275;4.00E-05;0.007813483;0.036330295;0.036834201;0.912882036;5.866;5.921;0.146;0.04815864;1.959482608;6.12633905;0.090138782;0.516642736;0.074940836;0.480496829;236.3099325;32.74034176;helicopter
2024-03-19T14:27:18.800000Z;129.0462447;609.4574842;666043.446;322.8866612;110.9887429;-0.168127197;-1.07595753;129.0462447;38.99350108;19.88791671;19.66338944;14.00700157;25.16247292;9.15E-05;0.002854057;0.059656093;0.008035313;0.901713171;5.877;5.933;3.574;0.615730712;-1.45282196;3.796443503;0.388104367;0.416932599;0.009341933;0.043462545;345.0685828;75.67536395;helicopter
2024-03-19T14:27:59.600000Z;357.1737468;1639.9193;1777722.103;860.1746613;296.2376442;-0.011160081;-0.791460395;357.1737468;40.99316781;25.67087275;20.4965839;16.21937943;36.49391768;0.000131844;0.000332734;0.000452583;0.000678816;0.040548472;5.907;5.937;1.153;0.651391435;-0.382221575;-0.745340535;0.235849528;0.556639578;0.130772679;0.420370709;237.9946168;81.89038554;helicopter
2024-03-19T14:28:55.600000Z;308.7791911;3714.512261;837318.5058;2177.471087;139.5298293;1.621849187;15.5593134;308.7791911;22.82952841;11.75409158;6.16563906;6.673760803;17.83036161;3.54E-06;0.02693197;0.644205836;0.273361423;0.03538208;2.449;5.126;0.454;0.54524246;2.790292275;8.590874625;0.208723742;0.506866563;0.106810505;0.49838304;106.2855751;81.89038554;icequake
2024-03-19T14:29:39.400000Z;23.2002489;239.1840916;96165.19576;132.7792119;16.02486182;0.52599292;4.938801835;23.2002489;21.49641726;13.50165398;8.99850025;8.592911184;20.32994501;2.09E-05;0.043113716;0.357799642;0.454725679;0.098255258;5.725;5.87;2.54;0.458756874;2.422547309;7.151101445;0.201556444;0.387852171;0.116804279;0.357460551;119.7448813;81.89038554;short_signal
2024-03-19T14:30:47.400000Z;45.8392772;423.4052843;172002.5837;215.5281243;28.66232023;0.081661974;5.399260423;45.8392772;18.33027829;11.84888905;4.665889018;8.472899148;20.32994501;1.01E-05;0.462735189;0.296092543;0.063335667;0.112697354;5.692;5.843;2.311;0.416097317;1.948674349;3.260114919;0.149582433;0.443100043;0.117710313;0.452497296;252.4053888;63.83067306;icequake
2024-03-19T14:31:09.400000Z;151.140892;1274.299592;505885.9596;645.7852525;84.30027655;-0.111638214;4.637688649;151.140892;19.49675054;9.434705071;7.332111315;5.731142314;13.49775037;4.97E-06;0.031547937;0.944654394;0.016497731;0.005948686;5.268;5.772;2.813;0.649558407;1.518606724;1.334713233;0.247487373;0.449533904;0.058163723;0.323148237;225;81.89038554;icequake
2024-03-19T14:31:26.800000Z;165.9103642;2162.857569;443590.4485;1235.644035;73.91942151;0.80267569;14.63882877;165.9103642;22.49625062;11.8054;7.665389102;6.184302184;15.66405599;3.42E-06;0.020364562;0.467545403;0.450624803;0.054591039;3.096;5.392;0.562;0.536910515;2.805483557;8.034877486;0.145773797;0.432216511;0.098044669;0.395058894;300.9637565;61.00272741;icequake
2024-03-19T14:32:33.400000Z;20.38743916;129.9146935;94700.43963;66.08607214;15.78077648;0.01699003;0.258960104;20.38743916;16.66388935;11.18121648;3.832694551;8.826436822;18.83019497;2.47E-05;0.689914161;0.144068686;0.057207696;0.095439383;5.883;5.93;2.848;0.568071988;0.614287931;0.050614277;0.190394328;0.300151651;0.058929206;0.213493033;156.8014095;81.89038554;noise
